Heading,Source,Date,Symbol,Month
"Adani to exit Wilmar Joint Venture, to sell 44% in FMCG company for $2 billion",Times of India,2024-12-31,ADANIENT,2024-12
"Adani Enterprises, Adani Ports and other Adani shares in focus: JP Morgan Overweight on 4 Adani Group bonds",Financial Express,2024-12-06,ADANIENT,2024-12
"Ambuja Cements shares jump over 1% as Adani Group merges Sanghi Industries, Penna Cement",The Economic Times,2024-12-18,ADANIENT,2024-12
Adani Group plans Rs 20K crore super critical thermal power plant in Bihar,Business Standard,2024-12-20,ADANIENT,2024-12
Adani Group to acquire Air Works for enterprise value of Rs 400 crore,Moneycontrol,2024-12-24,ADANIENT,2024-12
Flying High: Adani Group to acquire 85.8% stake in Air Works for Rs 400 crore,Financial Express,2024-12-23,ADANIENT,2024-12
JP Morgan sees no signs of stress across key Adani Group entities,Business Standard,2024-12-06,ADANIENT,2024-12
Adani Group Completes $2 Billion Exit from Consumer Goods Venture Adani Wilmar,Goodreturns,2024-12-30,ADANIENT,2024-12
10 Adani Group Stocks Settle Higher; Adani Ports Jumps Over 5%,NDTV,2024-12-26,ADANIENT,2024-12
"Adani Group plans to invest ₹20,000 crore in thermal power plant in Bihar",Hindustan Times,2024-12-20,ADANIENT,2024-12
SECI changes bidding policy after bribery allegations on Adani Group,Business Standard,2024-12-16,ADANIENT,2024-12
Newsmakers of the year | Down but never out: Adani’s resilience and relentless growth amid crisis,Financial Express,2024-12-30,ADANIENT,2024-12
Adani Green Energy's CEO Amit Singh to step down for new role in group,Business Standard,2024-12-30,ADANIENT,2024-12
"Adani Group Shares Rally: Adani Ports Leads Gains As Sensex, Nifty Surge",ABP Live English,2024-12-03,ADANIENT,2024-12
"Adani Group to invest Rs 28,000 crore in Bihar for power, cement, food processing projects",The Economic Times,2024-12-20,ADANIENT,2024-12
Why Adani Group opted out of $553 mn US funding for Colombo port project,Business Standard,2024-12-11,ADANIENT,2024-12
Adani Group on solid financial footing despite US-related developments: Bernstein,Siasat.com,2024-12-03,ADANIENT,2024-12
"Civil Aviation Minister affirms fair process in airport leasing to Adani Group, dismisses Opposition’s irregularity claims",Financial Express,2024-12-05,ADANIENT,2024-12
Adani Group proposes eco corridor to foster industrial growth in Odisha,Times of India,2024-12-07,ADANIENT,2024-12
"Adani group’s solar power contracts priced lower than competitors, could find new buyers if canceled, say analysts",Financial Express,2024-12-08,ADANIENT,2024-12
Adani Group Announces Rs. 7.5 Lakh Crore Investment Plan For Rajasthan,NDTV,2024-12-09,ADANIENT,2024-12
AlphaNeon Group and Urja-Adani Join Hands for Strategic Expansion in Indias Financial Trade Sector,The Tribune,2024-12-28,ADANIENT,2024-12
